name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barb.,Argentina,Armenia,Aruba,Ashmore and Cartier Is.,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Br. Indian Ocean Ter.,Brazil,British Virgin Is.,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Is.,Central African Rep.,Chad,Chile,China,Colombia,Comoros,Congo,Cook Is.,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. Rep. Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Eq. Guinea,Eritrea,Estonia,Ethiopia,Faeroe Is.,Falkland Is.,Fiji,Finland,Fr. Polynesia,Fr. S. Antarctic Lands,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard I. and McDonald Is.,Honduras,Hong Kong,Hungary,Iceland,India,Indian Ocean Ter.,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Is.,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Cyprus,N. Mariana Is.,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Is.,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,S. Geo. and the Is.,S. Sudan,Saint Helena,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Siachen Glacier,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Is.,Somalia,Somaliland,South Africa,South Korea,Spain,Sri Lanka,St-Barthélemy,St-Martin,St. Kitts and Nevis,St. Pierre and Miquelon,St. Vin. and Gren.,Sudan,Suriname,Sweden,Switzerland,Syria,São Tomé and Principe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Is.,U.S. Virgin Is.,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,W. Sahara,Wallis and Futuna Is.,Yemen,Zambia,Zimbabwe,eSwatini,Åland
Congo,46,27,67,94,26,46,70,55,55,15,29,97,50,31,89,54,79,75,45,83,38,46,77,20,75,58,27,42,96,57,91,26,39,20,32,19,80,74,5,83,53,18,14,12,53,49,20,0,45,70,31,19,66,2,50,2,28,6,9,61,26,60,42,63,89,11,12,53,93,51,96,20,5,4,75,97,62,2,3,74,38,30,45,48,37,81,20,87,43,97,31,10,26,63,20,99,81,64,17,88,8,41,75,44,77,8,34,97,18,41,62,42,10,90,60,97,81,66,59,85,41,35,6,34,27,9,7,32,4,88,27,18,83,88,53,67,85,66,66,35,26,98,41,1,12,72,41,47,94,42,32,35,35,57,74,94,46,16,0,52,79,9,67,0,68,96,99,79,62,64,98,84,74,93,68,9,10,38,38,92,6,79,29,13,44,49,57,23,91,80,85,5,84,66,91,58,41,45,66,73,34,38,89,41,28,26,80,44,28,48,38,28,25,22,41,3,50,97,72,39,34,23,34,59,33,19,74,56,77,96,17,22,64,44,73,60,63,33,39,86,16
Cook Is.,0,46,95,40,55,17,27,72,17,2,26,50,33,59,93,79,83,78,83,39,79,2,15,67,92,56,17,45,7,39,87,33,33,72,76,6,10,62,42,32,30,12,53,81,40,48,12,7,0,68,87,62,6,55,70,48,34,87,57,59,51,61,39,2,76,42,78,8,36,19,57,15,79,18,90,60,29,10,10,97,52,98,80,81,56,91,58,47,53,2,35,88,65,44,8,48,73,98,81,15,56,80,54,52,20,95,44,23,70,23,56,54,50,80,28,88,9,44,66,86,47,1,75,71,60,79,55,48,24,8,30,51,59,65,84,20,40,19,81,20,63,41,32,35,9,5,59,65,7,39,35,85,61,12,97,40,27,68,27,45,65,80,80,88,10,94,75,99,15,7,11,85,31,30,65,5,21,99,76,18,89,56,31,79,43,6,87,43,38,53,2,72,58,75,20,25,81,89,92,2,32,75,36,95,37,57,45,82,1,66,37,56,18,23,16,90,46,82,69,51,78,78,32,40,80,57,22,81,51,29,70,3,46,10,87,29,81,3,77,36,10
Costa Rica,23,96,87,22,65,96,35,62,39,35,39,59,55,37,42,73,90,62,80,35,33,5,9,29,75,51,22,22,33,29,62,88,99,57,60,58,28,81,67,55,71,6,37,83,63,30,16,99,50,0,28,89,69,62,91,57,41,79,91,89,8,62,84,93,13,54,20,41,27,86,23,89,81,27,67,59,92,33,68,1,11,77,42,16,10,30,41,73,34,68,62,58,12,53,88,77,28,51,83,64,56,46,52,9,87,97,72,32,55,20,69,93,50,8,49,75,16,26,44,65,16,83,37,34,5,39,0,54,80,38,29,91,17,71,3,15,80,27,70,31,11,4,88,15,13,13,37,78,75,90,30,42,1,43,50,79,51,88,41,65,94,29,94,54,22,91,9,50,90,71,8,6,29,31,11,20,54,96,53,26,28,88,5,98,11,71,3,92,79,17,57,73,47,43,84,94,36,50,40,96,44,26,77,40,41,97,10,45,52,11,45,9,44,10,94,89,78,9,26,29,81,88,71,91,22,22,18,95,37,46,94,12,8,40,47,32,66,44,6,90,8
Croatia,10,39,81,14,73,6,13,43,47,84,64,61,77,86,48,60,49,87,62,42,10,44,52,59,23,64,6,81,57,4,52,52,50,19,93,40,26,45,87,11,12,27,57,47,65,92,61,86,29,31,0,46,39,57,8,22,20,89,28,66,45,36,60,16,76,85,75,65,58,92,21,14,21,62,95,90,59,55,59,61,9,41,49,73,4,3,33,94,83,3,23,42,92,57,39,82,48,19,93,50,46,90,8,45,75,85,48,48,35,10,80,55,80,74,13,95,3,19,23,28,37,83,82,31,10,47,3,69,26,8,31,55,0,51,4,58,50,69,35,31,19,5,58,35,70,50,8,25,80,29,26,2,4,60,50,60,94,54,13,17,6,85,37,4,56,97,87,77,1,21,43,67,14,94,47,46,37,37,64,29,47,27,26,98,85,15,55,52,64,56,49,43,75,59,60,55,70,58,17,97,35,51,34,65,65,48,53,34,26,12,89,81,51,35,43,11,6,82,26,97,77,24,65,47,3,81,12,25,12,14,86,46,32,40,88,33,26,24,59,47,26
Cuba,61,52,98,21,30,15,45,74,33,51,85,68,24,88,66,60,18,4,38,43,32,82,43,73,59,65,89,44,20,76,48,5,44,35,62,50,67,18,0,36,5,87,22,93,26,62,41,29,78,98,32,0,39,72,14,26,33,68,54,40,12,49,99,89,92,64,98,96,4,22,75,81,15,15,91,93,68,34,64,36,35,81,64,26,91,54,18,27,78,87,29,60,90,78,92,44,92,4,33,15,64,30,24,24,6,84,88,87,45,82,94,95,61,23,85,79,80,31,68,71,59,3,9,37,37,69,92,40,76,15,26,85,43,26,41,15,93,52,68,79,35,65,41,91,11,78,96,67,15,28,99,2,78,0,29,40,1,16,19,45,97,12,91,71,94,9,76,57,36,23,49,13,24,20,91,37,0,65,3,51,48,83,65,44,96,50,27,54,63,74,15,64,80,62,88,25,12,39,15,11,87,0,64,42,1,83,45,75,39,49,26,12,77,14,69,61,98,87,5,12,80,47,94,87,74,82,81,61,2,32,98,24,97,60,82,86,65,96,16,34,75
Curaçao,94,61,84,86,38,44,24,33,47,45,54,65,87,71,70,21,83,6,7,65,24,12,43,65,1,83,77,60,98,68,15,33,84,74,87,54,32,55,69,50,70,86,40,26,92,53,7,28,64,36,60,36,0,58,5,94,41,78,38,72,95,98,42,38,87,72,15,14,48,85,21,78,51,85,58,0,73,34,5,5,3,2,39,5,99,16,8,39,62,58,74,55,25,75,0,5,21,14,86,68,13,97,28,89,4,62,24,1,8,66,89,17,22,23,34,3,98,95,72,28,82,60,30,80,79,3,4,29,89,65,61,56,46,28,35,57,56,9,38,65,80,46,57,18,98,87,21,33,80,43,98,43,54,68,36,99,97,59,19,84,29,7,78,21,34,54,17,69,48,1,14,28,41,10,40,22,27,45,69,81,84,62,15,69,44,76,9,57,91,35,24,11,27,82,92,63,85,30,51,31,4,9,80,50,86,8,61,28,72,38,12,98,50,13,91,27,15,98,86,25,13,55,64,80,84,13,98,20,63,71,17,54,42,18,59,82,45,29,53,78,82
Cyprus,53,7,88,34,54,55,3,23,68,49,19,47,34,46,28,75,34,10,8,98,69,59,94,36,35,44,71,39,18,48,52,5,3,49,54,22,27,31,40,18,98,88,21,38,89,6,49,72,30,28,87,95,49,0,24,44,2,3,55,75,89,92,65,12,22,94,90,37,34,65,52,48,99,5,14,2,0,78,19,16,78,81,1,31,54,26,43,63,91,46,2,49,46,17,30,82,55,36,26,39,63,33,77,73,83,1,34,73,46,38,4,68,22,2,46,40,90,13,76,79,69,61,53,57,81,89,26,30,46,29,94,55,65,89,43,18,71,70,47,93,77,10,21,25,60,99,50,59,37,82,87,21,67,80,85,83,11,51,55,85,34,43,96,77,5,57,44,15,33,34,93,85,61,87,55,92,24,68,36,81,40,18,29,24,39,24,68,41,6,6,66,58,62,37,17,29,37,88,94,19,93,59,24,59,95,8,90,56,85,41,53,83,27,35,55,37,13,58,37,59,1,17,0,53,17,84,19,98,8,32,8,55,90,80,13,28,41,90,90,77,38
Czechia,35,12,56,15,61,82,90,1,46,83,37,20,80,94,47,95,91,31,83,67,16,44,64,41,41,92,23,48,13,30,97,42,62,2,1,55,59,73,96,28,55,47,19,68,8,91,12,12,63,88,47,66,92,39,0,78,4,11,53,45,69,28,25,83,34,88,73,26,9,25,49,11,47,60,25,46,67,22,62,15,17,39,29,47,58,96,24,51,11,33,94,76,20,99,75,65,76,57,80,44,8,53,24,37,20,21,96,77,77,32,17,63,73,59,14,33,90,3,82,70,52,99,59,95,53,48,66,2,89,69,91,48,5,87,74,1,5,24,39,23,17,82,26,62,15,79,12,92,70,31,77,36,74,58,59,72,5,72,8,42,99,12,82,31,31,40,58,22,97,20,31,47,23,16,73,59,49,25,99,61,23,2,78,32,39,33,68,67,14,79,1,51,45,25,78,80,43,12,52,30,92,12,85,66,28,86,98,74,61,31,70,38,97,85,80,11,95,86,15,94,3,44,15,84,6,12,41,66,34,46,92,40,46,53,74,91,42,64,91,20,86
Côte d'Ivoire,72,82,11,50,95,18,50,10,67,77,33,62,99,24,37,60,20,66,55,5,86,64,97,66,82,11,55,86,48,17,36,56,28,73,0,70,90,36,74,14,10,31,1,32,98,74,25,62,43,76,82,0,19,14,40,0,32,66,19,82,53,15,37,83,64,1,79,60,97,51,46,74,20,9,5,34,30,99,6,65,80,62,99,9,81,87,83,76,42,16,18,22,38,43,87,33,30,0,21,96,42,51,51,98,63,37,82,30,3,4,5,13,15,78,38,91,70,13,91,0,56,14,55,5,69,73,58,87,19,85,48,50,44,80,57,36,18,83,18,73,12,29,96,36,39,4,53,28,57,84,37,10,3,55,63,72,97,14,82,4,41,70,88,11,74,10,8,58,5,37,93,32,83,77,85,14,39,17,11,54,68,78,23,15,5,36,10,34,84,28,65,64,45,20,78,48,45,54,3,82,28,98,89,74,52,41,64,80,71,66,79,8,42,77,14,8,39,34,95,41,50,25,77,86,91,30,1,43,56,24,3,77,74,95,76,77,33,53,5,90,93
Dem. Rep. Congo,61,29,49,38,24,31,27,79,23,53,98,69,35,91,33,98,28,46,93,74,79,24,90,94,40,67,93,25,85,74,89,76,42,11,91,40,99,1,96,69,31,74,79,3,76,78,80,59,27,87,19,84,30,64,25,64,0,22,25,71,55,33,76,19,79,13,89,99,42,80,1,66,23,53,50,66,23,72,36,4,29,4,31,4,27,61,42,68,37,30,45,11,36,21,89,99,38,81,72,98,28,96,74,28,74,10,23,93,63,97,15,75,5,10,19,0,33,53,57,71,6,46,96,24,80,49,5,78,80,22,55,88,35,49,65,15,95,14,71,97,56,27,89,58,49,58,75,49,61,2,70,25,19,10,11,19,88,27,61,94,59,81,60,46,16,53,24,20,91,66,98,46,75,85,6,90,55,1,27,36,37,49,25,83,97,21,2,84,87,22,12,10,26,1,91,25,91,79,58,40,97,53,57,65,41,24,9,25,54,27,16,59,48,34,45,47,2,71,52,43,6,1,55,19,39,95,27,57,44,30,57,99,80,4,65,83,80,11,1,79,42
Denmark,85,64,41,93,44,61,80,31,35,57,45,24,32,55,38,56,29,28,49,49,66,5,44,66,93,77,19,79,88,20,3,22,28,85,19,71,7,71,14,87,80,37,88,25,79,25,28,66,47,59,99,18,0,9,23,55,58,0,31,62,24,80,48,36,7,86,63,46,32,41,31,74,69,34,86,48,54,96,34,54,54,21,55,42,64,1,92,39,64,14,26,98,95,74,82,4,29,60,38,1,3,52,55,90,53,32,92,54,33,70,66,10,8,19,22,96,71,0,65,14,24,12,86,39,11,83,83,5,78,7,60,74,68,13,1,42,71,93,77,60,0,50,11,79,55,49,97,60,59,26,88,39,21,53,35,6,50,10,67,6,97,64,57,43,75,59,34,41,38,73,85,3,95,78,87,15,38,6,51,47,31,85,47,18,36,69,75,21,20,18,46,1,3,36,61,53,30,91,56,50,67,9,52,66,45,67,21,39,86,86,61,63,51,41,67,70,32,54,92,44,50,27,28,48,12,64,69,0,67,83,47,72,60,82,2,10,16,61,73,76,71
Djibouti,90,45,25,19,91,49,41,83,71,16,18,54,59,72,14,96,91,79,87,29,72,83,3,38,16,99,26,74,65,3,39,18,62,52,35,86,12,45,50,45,52,40,87,31,77,63,96,11,50,48,15,49,86,29,32,98,11,86,0,25,23,31,63,23,76,3,40,30,51,71,33,12,39,92,33,38,58,47,44,85,36,44,9,96,93,78,19,41,96,29,18,75,29,70,93,67,83,59,17,54,31,91,49,43,41,55,2,65,30,78,69,44,84,9,94,53,67,66,88,46,70,18,86,11,85,48,24,67,79,85,6,76,90,6,3,80,23,25,42,36,99,84,12,18,64,5,53,93,32,41,29,11,27,35,73,85,79,70,62,46,30,21,57,8,58,12,9,55,21,75,29,58,12,55,5,24,51,30,63,70,1,46,7,62,93,31,92,2,57,41,85,43,34,69,10,44,55,64,33,70,40,42,96,4,10,39,35,71,27,48,6,46,98,22,73,85,2,0,72,45,39,36,98,82,8,78,60,49,51,29,43,37,69,85,82,73,45,88,46,72,3
Dominica,20,76,65,99,75,69,97,13,23,52,14,37,10,41,83,12,90,1,29,98,2,99,62,73,65,80,28,76,6,27,56,52,21,82,65,13,21,82,31,51,0,38,8,19,86,66,44,40,73,52,1,68,39,16,8,82,79,44,91,0,83,15,25,63,52,65,89,82,55,98,55,85,88,40,25,9,2,81,46,41,4,86,16,75,63,91,59,10,9,70,50,19,90,15,25,93,34,25,81,41,47,45,76,89,99,9,0,30,11,18,55,22,6,48,27,29,83,35,60,47,88,22,38,91,74,76,45,92,85,75,43,2,42,61,75,25,36,24,50,42,83,29,68,76,90,23,53,27,41,23,61,53,73,72,53,77,14,71,91,45,93,63,45,36,81,74,99,25,91,2,85,86,36,35,79,23,31,74,94,18,6,20,65,22,23,68,89,48,61,19,4,43,26,22,35,20,28,13,0,31,29,49,18,28,34,28,96,17,75,37,99,64,12,5,15,88,30,26,3,35,79,32,30,50,16,62,24,31,98,59,82,95,37,56,5,8,52,12,41,40,68
Dominican Rep.,79,80,97,39,91,81,71,56,86,54,46,29,73,31,65,99,20,5,93,26,13,41,10,52,6,31,86,51,0,55,10,88,9,79,98,78,90,12,20,26,48,38,45,71,21,39,2,32,17,95,36,34,93,71,16,28,8,88,55,71,0,1,73,41,60,65,2,20,26,68,42,11,83,45,22,65,49,37,54,64,40,38,74,73,95,22,4,84,88,56,45,0,73,89,31,69,5,6,83,62,40,29,78,61,21,26,59,44,93,21,51,41,4,86,46,83,68,33,19,34,24,66,64,10,83,67,59,17,55,86,64,0,24,76,17,78,93,44,30,20,69,59,79,25,19,51,42,62,57,87,80,77,56,63,51,1,3,17,38,53,13,44,27,64,89,11,10,74,60,84,7,68,51,41,16,44,1,26,89,63,87,31,21,74,58,47,49,21,24,34,2,6,28,83,14,23,10,91,48,4,48,70,16,76,99,31,50,95,88,52,57,20,92,67,20,26,89,13,79,20,52,21,75,57,5,63,18,55,19,89,21,97,82,59,3,67,89,83,60,76,96
Ecuador,92,82,11,67,14,40,93,45,76,71,29,95,26,89,86,56,38,21,88,15,11,56,42,41,36,56,63,58,86,22,16,34,64,4,89,0,74,63,58,33,27,0,59,19,69,87,68,74,1,99,7,94,6,75,46,58,28,77,39,61,48,0,59,79,94,50,38,92,24,67,63,65,51,77,19,56,51,49,0,73,99,28,6,4,74,44,48,67,82,56,53,87,69,64,95,30,59,60,2,45,26,38,91,5,15,50,90,37,25,62,96,48,28,8,79,11,54,9,64,75,9,48,17,53,72,94,56,63,93,15,30,22,26,57,58,34,73,66,4,73,45,33,39,0,60,64,1,53,41,8,46,46,31,47,55,81,23,53,56,95,91,21,12,69,15,90,12,28,64,3,83,68,13,70,88,28,10,57,81,76,83,37,95,31,40,59,92,10,45,1,18,23,35,80,72,73,49,84,60,32,13,46,38,12,11,14,14,38,12,1,31,68,5,71,46,64,25,65,72,75,24,54,0,89,59,70,33,58,35,1,33,0,99,39,23,84,2,93,35,53,82
Egypt,75,36,61,55,83,36,96,64,65,79,24,13,22,74,47,1,21,74,73,31,40,21,92,12,67,24,21,41,62,71,96,83,10,73,6,72,58,53,93,80,79,33,27,40,17,75,29,70,18,99,19,99,61,88,81,79,41,68,12,22,86,66,0,48,59,75,29,23,50,35,48,41,79,21,59,54,48,7,81,55,45,48,31,25,60,19,90,17,10,18,49,17,94,15,35,59,25,70,3,64,48,47,3,67,40,30,32,26,59,95,91,61,70,29,71,97,76,93,1,51,51,59,23,34,11,89,3,12,65,20,86,83,20,81,19,17,16,89,53,73,31,13,25,44,2,71,24,74,78,52,0,44,23,63,58,29,54,70,69,52,10,73,3,61,76,95,99,33,93,3,23,6,77,91,14,41,97,99,72,80,95,60,24,86,22,62,34,7,6,53,10,46,58,84,91,66,89,55,55,11,2,76,6,61,11,2,12,76,30,15,25,60,73,51,10,19,51,69,9,67,93,58,27,69,30,34,72,21,52,23,91,1,83,78,18,9,92,13,77,38,78
El Salvador,71,93,92,39,56,76,29,27,5,11,77,90,95,28,44,96,62,89,87,87,68,64,73,88,41,90,25,29,75,79,9,85,16,22,55,90,24,0,24,94,0,47,34,8,64,19,52,27,30,37,27,18,7,18,60,13,47,54,83,79,50,37,27,0,46,57,51,11,11,57,24,32,83,97,52,67,50,28,37,48,64,72,0,3,78,96,57,62,61,24,65,57,36,80,40,46,71,99,87,25,96,37,34,55,64,77,18,87,4,58,49,5,31,54,39,86,70,16,92,77,66,25,14,49,65,91,57,13,69,53,89,85,1,78,78,74,52,56,81,13,12,79,83,38,86,54,57,92,51,37,58,59,70,25,29,66,93,22,49,69,6,76,28,62,81,38,31,26,25,48,17,18,5,12,47,56,40,23,66,75,47,75,17,99,76,44,67,94,34,40,38,82,85,0,20,97,67,53,60,33,72,62,23,85,79,46,81,17,81,6,53,50,29,19,93,86,81,60,19,19,18,57,13,28,50,65,52,52,18,60,74,54,27,64,79,3,88,35,43,33,8
Eq. Guinea,63,61,20,94,36,64,1,37,20,59,14,79,59,43,24,73,48,33,18,88,23,95,2,90,32,21,95,32,92,89,96,15,70,16,81,3,95,55,89,99,95,38,65,11,14,12,11,91,24,93,12,24,32,21,53,49,19,86,11,26,98,41,17,18,0,83,25,38,78,13,24,7,52,92,60,37,26,80,95,84,51,57,2,72,56,67,29,22,8,19,84,15,10,88,78,17,19,25,72,69,7,86,3,58,4,45,85,44,52,59,87,64,44,88,99,60,16,52,25,4,82,82,33,55,77,69,14,68,24,92,35,40,1,58,39,99,1,84,36,4,67,97,44,51,46,3,26,63,31,95,9,62,21,30,53,9,52,96,47,93,59,93,37,0,75,42,10,96,24,98,99,31,95,48,54,20,83,85,60,50,92,54,89,49,14,80,30,32,30,66,85,49,49,29,56,57,88,12,4,81,13,62,84,0,99,30,57,60,68,54,81,61,23,51,45,5,67,53,27,11,52,92,11,13,3,15,54,53,82,7,68,49,10,59,54,60,21,47,88,77,50
Eritrea,50,30,85,27,78,53,33,91,77,63,43,88,22,94,61,13,48,96,59,63,39,15,15,95,6,59,13,33,67,23,82,25,31,64,34,57,2,9,1,3,90,36,85,67,70,76,23,66,79,65,27,48,20,97,33,42,62,3,92,61,53,31,39,31,17,0,49,5,49,32,49,21,31,45,79,78,9,5,30,7,53,93,37,0,84,45,96,11,6,31,45,62,28,29,72,58,90,91,53,55,79,56,41,50,35,13,50,60,20,32,20,42,1,4,26,69,20,54,37,33,67,23,31,2,19,23,36,30,35,96,45,32,74,93,81,73,25,37,76,33,99,62,1,59,41,21,23,87,66,5,50,58,41,75,44,87,26,14,63,33,22,60,28,37,48,38,63,25,87,55,82,22,93,78,10,50,46,42,12,16,85,83,74,75,29,3,31,15,23,94,92,4,32,82,65,99,73,10,88,9,10,76,79,82,12,6,76,45,51,93,71,8,54,32,92,75,50,59,86,28,60,32,96,65,51,47,7,89,35,67,23,32,29,46,48,93,43,88,83,41,62
Estonia,50,93,13,70,51,9,73,14,16,96,78,70,75,79,5,18,26,48,19,9,34,85,60,82,75,63,43,98,22,87,75,88,36,7,73,19,83,66,76,84,0,15,1,50,26,56,43,45,67,53,80,68,97,89,66,11,10,13,83,71,0,64,63,71,70,43,0,98,41,47,16,53,43,76,26,15,75,68,0,11,22,5,45,25,80,49,29,16,24,53,24,55,11,18,67,5,85,89,45,82,32,75,38,30,3,27,96,75,20,71,47,17,35,75,87,20,2,32,65,21,60,22,71,57,24,27,58,94,60,80,28,62,91,74,2,58,11,82,31,53,46,77,93,96,50,56,46,49,5,42,66,14,32,19,98,21,67,27,11,80,8,10,77,60,92,74,46,84,74,93,80,73,99,28,62,83,37,85,90,53,78,13,94,87,68,13,12,72,96,47,84,49,46,76,93,41,64,64,92,22,19,14,89,88,86,25,39,75,44,38,50,88,42,12,60,42,57,90,47,50,94,48,24,86,83,80,18,42,19,62,70,8,29,51,20,78,86,88,88,58,27
Ethiopia,51,43,50,81,11,79,58,19,3,74,95,69,47,65,50,47,97,20,25,93,0,71,2,62,64,7,86,95,36,29,8,29,70,87,92,24,5,22,83,19,53,24,4,33,39,82,65,92,63,98,86,12,98,63,11,86,22,79,78,85,72,99,98,84,6,47,45,0,14,27,32,39,56,78,44,16,99,10,94,28,73,39,57,44,21,24,16,13,53,57,70,50,12,57,45,56,26,14,7,22,67,9,42,6,67,13,22,58,23,61,19,61,77,88,51,60,92,7,61,91,33,83,39,92,77,19,78,28,2,92,56,46,56,57,54,11,60,20,66,75,21,51,90,27,0,97,97,6,45,82,28,44,38,32,12,60,50,30,58,15,76,40,98,75,92,31,68,76,93,96,26,85,28,61,22,22,34,20,80,61,29,94,23,16,5,84,52,52,79,49,24,14,61,20,18,61,6,0,84,51,52,33,93,51,29,32,13,25,77,10,12,31,7,62,40,16,30,97,17,33,42,63,58,20,61,66,71,88,70,16,14,43,71,32,97,46,54,48,42,42,7
Faeroe Is.,13,22,99,74,30,96,98,20,39,82,1,68,70,31,31,52,40,90,22,53,0,17,93,55,51,76,81,21,30,81,36,78,62,68,35,99,15,80,12,48,87,40,0,43,29,46,57,49,61,92,3,78,24,5,2,31,90,12,44,53,66,63,14,52,75,19,79,91,0,6,28,68,4,92,23,97,56,76,17,14,32,53,82,86,36,66,65,69,76,99,1,24,50,78,76,83,14,48,90,10,41,64,86,60,90,57,55,87,77,81,4,67,89,93,74,29,14,19,24,82,72,53,31,65,86,64,93,85,90,34,26,89,59,80,59,6,44,39,96,68,78,84,24,75,38,40,36,50,28,34,55,11,68,83,47,24,60,52,94,83,29,74,28,16,32,82,7,72,17,91,74,21,0,49,19,21,67,40,47,54,23,7,7,69,19,36,82,90,69,42,54,7,48,69,94,37,52,27,84,91,33,57,74,0,89,43,76,75,34,12,94,7,98,33,78,89,11,49,74,50,18,9,55,87,96,60,49,17,56,69,10,47,86,89,86,4,9,24,83,89,60
Falkland Is.,69,61,30,61,82,11,24,69,7,37,76,60,62,88,23,31,2,70,40,89,47,45,74,47,12,66,86,84,98,80,36,75,64,85,63,2,83,90,33,40,42,62,7,29,7,39,83,34,83,84,55,24,32,8,53,41,53,65,86,91,74,73,99,40,14,7,88,20,34,0,74,93,50,22,3,96,88,1,34,29,24,82,79,51,12,74,27,17,23,85,64,0,8,37,6,34,34,78,6,6,95,22,50,83,72,19,61,14,18,84,8,91,5,98,74,17,19,98,97,42,93,68,47,67,84,28,66,60,98,91,0,15,62,4,72,71,66,78,9,13,21,57,81,80,78,51,27,88,51,87,13,61,5,95,45,68,75,66,26,47,0,44,21,48,50,98,21,58,58,60,84,6,36,22,10,31,61,34,46,75,66,58,59,47,75,6,49,20,75,49,0,47,55,63,77,25,79,41,13,70,14,66,71,67,85,22,80,59,86,73,54,94,74,45,85,61,26,43,60,65,75,83,15,92,8,91,19,62,22,79,1,77,32,70,4,51,84,30,45,28,90
Fiji,49,53,2,87,49,69,88,42,27,21,69,64,17,0,22,58,62,95,58,59,15,66,15,70,5,30,20,93,37,21,78,20,51,47,60,59,20,11,80,82,3,9,87,83,34,49,19,69,47,61,97,48,28,49,60,25,2,59,34,60,54,1,0,46,74,70,76,67,9,61,0,46,81,15,21,55,12,73,24,61,44,7,99,35,55,20,13,21,52,80,34,41,18,73,27,59,16,85,87,17,79,11,17,29,78,27,98,78,69,22,10,47,63,9,88,6,14,21,88,49,21,73,23,58,34,54,15,52,30,0,97,22,94,26,20,16,41,72,4,51,43,39,93,44,50,3,41,92,34,6,97,56,10,91,75,86,35,82,87,51,81,77,39,18,82,8,83,94,84,27,30,98,8,1,19,56,9,96,94,40,82,74,24,96,96,18,39,58,86,11,8,68,24,56,54,84,60,14,3,45,53,5,98,44,92,43,5,58,6,72,56,18,79,35,18,27,22,83,48,60,46,11,45,81,86,20,58,0,98,59,69,17,75,84,8,65,27,92,96,46,48
Finland,66,40,94,83,23,10,39,33,70,3,79,71,66,46,83,64,92,52,72,8,90,52,99,55,43,57,94,26,60,87,7,83,69,14,41,35,44,44,54,69,40,29,90,19,76,35,94,71,80,35,90,75,51,55,16,49,19,86,51,84,50,52,26,48,92,44,1,96,78,13,27,0,18,72,49,86,37,45,30,9,47,40,72,89,77,53,98,69,20,56,74,11,15,20,77,9,64,55,69,77,36,18,87,90,10,62,66,36,43,62,11,48,25,59,53,50,69,58,66,14,78,58,43,85,16,53,5,75,56,3,28,14,44,92,51,47,81,30,20,62,4,40,5,15,5,54,19,98,70,34,78,67,14,70,50,46,73,66,64,18,18,97,43,90,15,65,67,45,74,50,82,81,9,86,54,61,67,10,17,67,88,91,15,20,65,31,70,12,24,95,3,37,18,33,50,8,50,58,54,10,4,99,94,94,4,20,12,21,76,11,34,62,31,27,91,2,61,72,6,54,12,28,28,95,78,49,73,73,13,55,85,33,41,71,35,94,62,12,6,91,33
